entity_num,address_num,address,full_address,country,add_remarks
9639,12812.0,-0- ,-0- ,-0- ,-0- 
9640,12813.0,-0- ,-0- ,-0- ,-0- 
9641,12128.0,-0- ,Gaza,Palestinian,-0- 
9642,12129.0,-0- ,"Hebron, West Bank",Palestinian,-0- 
9643,12814.0,-0- ,-0- ,-0- ,-0- 
9644,12815.0,-0- ,-0- ,-0- ,-0- 
9645,12130.0,-0- ,Gaza,Palestinian,-0- 
9646,12131.0,-0- ,"Ramallah, West Bank",Palestinian,-0- 
9647,68713.0,-0- ,-0- ,Region: Gaza,-0- 
9648,12817.0,-0- ,-0- ,-0- ,-0- 
9649,12132.0,-0- ,"Jenin, West Bank",Palestinian,-0- 
9650,12133.0,-0- ,"Ramallah, West Bank",Palestinian,-0- 
9651,12134.0,-0- ,"Tulkarim, West Bank",Palestinian,-0- 
9652,12135.0,-0- ,"Bethlehem, West Bank",Palestinian,-0- 
9653,12136.0,-0- ,"Qalqilya, West Bank",Palestinian,-0- 
9654,12137.0,-0- ,"Salfit, West Bank",Palestinian,-0- 
9655,12138.0,-0- ,"Nablus, West Bank",Palestinian,-0- 
9656,12139.0,-0- ,"Khan Younis, West Bank",Palestinian,-0- 
9657,12140.0,-0- ,"Hebron, West Bank",Palestinian,-0- 
9658,12141.0,-0- ,"Tubas, West Bank",Palestinian,-0- 
9659,31130.0,-0- ,Jabaliya,Region: Gaza,-0- 
9660,12142.0,-0- ,Gaza,Palestinian,-0- 
9661,12143.0,-0- ,"Rafah, West Bank",Palestinian,-0- 
9662,12144.0,-0- ,"Gaza City, Gaza",Palestinian,-0- 
9663,12145.0,-0- ,"Hebron, West Bank",Palestinian,-0- 
9664,12146.0,-0- ,Gaza,Palestinian,-0- 
9665,12147.0,-0- ,"Oja, West Bank",Palestinian,-0- 
9666,12148.0,-0- ,"Gaza City, Gaza",Palestinian,-0- 
9667,12149.0,-0- ,"Ramallah, West Bank",Palestinian,-0- 
9668,12819.0,-0- ,-0- ,-0- ,-0- 
9669,12820.0,-0- ,-0- ,-0- ,-0- 
9670,12821.0,-0- ,-0- ,-0- ,-0- 
9671,12822.0,-0- ,-0- ,-0- ,-0- 
9672,12823.0,-0- ,-0- ,-0- ,-0- 
9673,12824.0,-0- ,-0- ,-0- ,-0- 
9674,12825.0,-0- ,-0- ,-0- ,-0- 
9675,12826.0,-0- ,-0- ,-0- ,-0- 
9676,12827.0,-0- ,-0- ,-0- ,-0- 
9677,12828.0,-0- ,-0- ,-0- ,-0- 
9678,12829.0,-0- ,-0- ,-0- ,-0- 
9679,12830.0,-0- ,-0- ,-0- ,-0- 
9680,12831.0,-0- ,-0- ,-0- ,-0- 
9681,12832.0,-0- ,-0- ,-0- ,-0- 
9682,12833.0,-0- ,-0- ,-0- ,-0- 
9683,12834.0,-0- ,-0- ,-0- ,-0- 
9684,12835.0,-0- ,-0- ,-0- ,-0- 
9685,12836.0,-0- ,-0- ,-0- ,-0- 
9686,12837.0,-0- ,-0- ,-0- ,-0- 
9687,12838.0,-0- ,-0- ,-0- ,-0- 
9688,12150.0,-0- ,"Jenin, West Bank",Palestinian,-0- 
9689,12839.0,-0- ,-0- ,-0- ,-0- 
9690,12840.0,-0- ,-0- ,-0- ,-0- 
9691,12841.0,-0- ,-0- ,-0- ,-0- 
9692,12842.0,-0- ,-0- ,-0- ,-0- 
9693,12843.0,-0- ,-0- ,-0- ,-0- 
9694,12844.0,-0- ,-0- ,-0- ,-0- 
9695,12845.0,-0- ,-0- ,-0- ,-0- 
9696,12846.0,-0- ,-0- ,-0- ,-0- 
9697,12847.0,-0- ,-0- ,-0- ,-0- 
9698,12848.0,-0- ,-0- ,-0- ,-0- 
9699,12849.0,-0- ,-0- ,-0- ,-0- 
9700,12850.0,-0- ,-0- ,-0- ,-0- 
9701,12851.0,-0- ,-0- ,-0- ,-0- 
9702,12852.0,-0- ,-0- ,-0- ,-0- 
9703,12151.0,-0- ,Gaza,Palestinian,-0- 
9704,12853.0,-0- ,-0- ,-0- ,-0- 
9705,12854.0,-0- ,-0- ,-0- ,-0- 
9706,12855.0,-0- ,-0- ,-0- ,-0- 
9707,12856.0,-0- ,-0- ,-0- ,-0- 
9708,12857.0,-0- ,-0- ,-0- ,-0- 
9709,12858.0,-0- ,-0- ,-0- ,-0- 
9710,12859.0,-0- ,-0- ,-0- ,-0- 
9711,12860.0,-0- ,-0- ,-0- ,-0- 
9712,12861.0,-0- ,-0- ,-0- ,-0- 
9713,12862.0,-0- ,-0- ,-0- ,-0- 
9714,12863.0,-0- ,-0- ,-0- ,-0- 
9715,12864.0,-0- ,-0- ,-0- ,-0- 
9716,12865.0,-0- ,-0- ,-0- ,-0- 
15268,22761.0,"172 Xibin Rd, Ranghulu District, (Daqing, Heilongjiang Branch)",Daqing 163453,China,-0- 
15268,22762.0,"9 Dongzhimen North Street, Dongcheng District, (Head Office)",Beijing 100007,China,-0- 
15268,22763.0,"No. 7 Century Ave, (Registered Office)","Xinjiang, Karamay 834000",China,-0- 
15268,22764.0,"No. 68 Zhongya South Rd, Economic and Technological Development Zone, (Urumqi, Xinjiang Branch)",Urumqi 830026,China,-0- 
17013,25798.0,"29, Bolshaya Morskaya str.",St. Petersburg 190000,Russia,-0- 
17013,25799.0,37 Plyushchikha ul.,Moscow 119121,Russia,-0- 
17013,25800.0,"43, Vorontsovskaya str.",Moscow 109044,Russia,-0- 
17013,52482.0,"11 litera, per. Degtyarny",St. Petersburg 191144,Russia,-0- 
17013,52483.0,"11, lit A, Degtyarnyy pereulok",St. Petersburg 191144,Russia,-0- 
17013,52484.0,"43, bld.1, Vorontsovskaya str.",Moscow 109147,Russia,-0- 
17013,52485.0,"Bashnya Zapad, Kompleks Federatsiya, 12, nab. Presnenskaya",Moscow 123317,Russia,-0- 
17013,52486.0,"str. 1, 43, ul. Vorontsovskaya",Moscow 109147,Russia,-0- 
17013,52488.0,Vorontsovskaya Str 43,Moscow 109147,Russia,-0- 
17013,74656.0,"The Taj Mahal Hotel, Lobby Mezzanine Floor 1, Mansingh Road",New Delhi 110001,India,-0- 
17013,74657.0,"1266 Nanjing Xilu Street, Jingan District",Shanghai 200040,China,-0- 
17013,74658.0,"18 BC, CITIC Building, 19 Jianguomenwai Dajie",Beijing 100004,China,-0- 
17014,25802.0,"3, Gagarinsky Pereulok",Moscow 119034,Russia,-0- 
17014,25803.0,3 Gagarinsky per.,Moscow 119034,Russia,-0- 
17015,25805.0,Akademik Sakharov Ave 9,Moscow 107996,Russia,-0- 
17015,52521.0,"Pr-kt, Akademika Sakharova, D. 9",Moscow 107078,Russia,-0- 
17015,74649.0,"20A, CITIC Building, 19, Joanguomenwai Dajie",Beijing 100004,China,-0- 
17015,74650.0,"Shop No. 11, Arcade Ground Floor, World Trade Centre, Cuffe Prade, Colaba",Mumbai 400005,India,-0- 
17016,25807.0,"16 Nametkina Street, Bldg. 1",Moscow 117420,Russia,-0- 
17017,25810.0,8/15 Korp. 3 ul. Rozhdestvenka,Moscow 107996,Russia,-0- 
17017,25811.0,"Bld 3 8/15, Rozhdestvenka St.",Moscow 107996,Russia,-0- 
17018,52487.0,19 ul. Vavilova,Moscow 117312,Russia,-0- 
17018,74652.0,"C305/306A Lufthansa Centre 50 Liangmaqiao Rd., Chaoyang District",Beijing 100027,China,-0- 
17018,74653.0,"upper ground floor and fourth floor, Birla Tower, 25-Barakhamba Road",New Delhi 110001,India,-0- 
17018,74654.0,"81-B, 8th Floor, 5th North Avenue, Maker Maxity, Bandra Kurla Complex, Bandra East","Mumbai, Maharashtra 40051",India,-0- 
17022,25840.0,26/1 Sofiyskaya Embankment,Moscow 115035,Russia,-0- 
17064,25919.0,"2, Udaltsova Street",Moscow 119415,Russia,-0- 
17064,25921.0,"22 A, Pobedy Street, Tarko-Sale",Yamalo-Nenets Autonomous District 629580,Russia,-0- 
17064,25922.0,"22a Pobedy ul., Tarko-Sale","Purovski raion, Tyumenskaya Oblast 629850",Russia,-0- 
17143,26038.0,"5, Let. A, Galernaya",Saint Petersburg 190000,Russia,-0- 
17143,26039.0,"d. 3-5 litera A Ch. Pom. 1N kab. 2401, ul. Pochtamtskaya",St. Petersburg 190000,Russia,-0- 
17145,26046.0,"ul. Grigoriya Kukuyevitskogo, 1, bld. 1, Khanty-Mansiysky Autonomous Okrug - Yugra","the city of Surgut, Tyumenskaya Oblast 628415",Russia,-0- 
17145,26048.0,korp. 1 1 Grigoriya Kukuevitskogo ul.,"Surgut, Tyumenskaya oblast 628404",Russia,-0- 
17145,26049.0,Street Kukuevitskogo 1,"Surgut, Tyumen Region 628415",Russia,-0- 
17248,26282.0,11 Sretenski boulevard,Moscow 101000,Russia,-0- 
17250,26288.0,"2/3 Lakhtinsky Avenue, Bldg. 1","St. Petersburg, Russia 197229",Russia,-0- 
17250,26290.0,BOX 1255,St. Petersburg 190900,Russia,-0- 
17250,52480.0,156A Moskovsky Avenue,St. Petersburg,Russia,-0- 
17254,52600.0,"naberezhnaya Presnenskaya, D. 4, Str. 2",Moscow 123112,Russia,-0- 
17260,26319.0,24 Usacheva Str.,Moscow 119048,Russia,-0- 
17260,26320.0,21 Gogolevsky Blvd.,Moscow 119991,Russia,-0- 
18267,27623.0,"Magistralnaya St., 2","Buzuluk, the Orenburg Region 461040",Russia,-0- 
18267,27624.0,st. Magistralynaya 2,Buzuluk 461040,Russia,-0- 
18268,27626.0,12 Krasnopresnenskaya Embankments,Moscow 123610,Russia,-0- 
18269,27628.0,"Lenina St. 4, the Tyumen Region","Khanty-Mansiysk, Autonomous District, Nizhnevartovsk 628606",Russia,-0- 
18270,27631.0,d. 139 ul. Pyatigorskaya Essentuki,Stavropolski krai 357625,Russia,-0- 
18271,27632.0,"Baikalskaya St., 295 B",Irkutsk 664050,Russia,-0- 
18272,27635.0,nab. Krasnopresnenskaya d. 12,Moscow 123610,Russia,-0- 
18273,27639.0,"Nab. Presnenskaya D. 10, pom II komn 8-59",Moscow 123112,Russia,-0- 
18274,27640.0,"Dobrovolcheskoy Brigady St., 15",Krasnoyarsk Territory 660077,Russia,-0- 
18275,27643.0,d. 14 prospekt Olimpiski,Moscow 129090,Russia,-0- 
18276,27645.0,"Lenina St., 26","Nefteyugansk, Tyumen Region 628309",Russia,-0- 
18277,27647.0,d. 59 str. 2 ul. Zemlyanoi Val,Moscow 109004,Russia,-0- 
18278,27650.0,d. 35 A ul. Partizana Zheleznyaka,"Krasnoyarsk, Krasnoyarski krai 660022",Russia,-0- 
18279,27655.0,d. 9 prospekt Akademika Sakharova,Moscow 107996,Russia,-0- 
18280,27653.0,Angarsk,Irkutsk region 665830,Russia,-0- 
18280,27656.0,6 ul. K. Marksa,Angarsk 665830,Russia,-0- 
18281,27658.0,"ul. Bryanskaya D. 5, et 4 pom. I kom 25",Moscow 121059,Russia,-0- 
18282,27661.0,Novokuibyshevsk,Samara region 446207,Russia,-0- 
18283,27662.0,79 ul. Sadovnicheskaya,Moscow 115035,Russia,-0- 
18284,27665.0,115 Leningradskaya st.,"Komsomolsk-on-Amur, Khabarovsk region 681007",Russia,-0- 
18285,27666.0,7 Tverskaya ul.,Moscow 125375,Russia,-0- 
18286,27668.0,d. 7 str. A ul. Mashi Poryvaevoi,Moscow 107078,Russia,-0- 
18287,27670.0,d. 9 prospekt Akademika Sakharova,Moscow 107996,Russia,-0- 
18287,52533.0,"Per. Lyalin D. 19, Korpus 1, Pom. XXIV, Kom 11",Moscow 101000,Russia,-0- 
