entity_num,alt_num,alt_type,alt_name,alt_remarks
9639,9150.0,aka,"HANIYA, Ismail",-0- 
9639,9151.0,aka,"HANIYYA, Ismaeel",-0- 
9640,9152.0,aka,"ABU TAIR, Mohammed Mahmud",-0- 
9640,9153.0,aka,"ABOU TAYR, Mohammad Mahmoud",-0- 
9641,9154.0,aka,"EL-SHANTI, Jameela Abdallah",-0- 
9641,9155.0,aka,"AL SHANTEE, Jamila Abed Allah",-0- 
9642,9156.0,aka,"ALA AL DIN, Mohamad Nouman",-0- 
9642,9157.0,aka,"AL NATSHEH, Mohammed",-0- 
9644,9158.0,aka,"RABBAI, Khalil Mussa",-0- 
9645,9159.0,aka,"AL QRENAWI, Houda Naim",-0- 
9647,9160.0,aka,"AL ZAHAR, Mahmoud Khaled",-0- 
9648,9161.0,aka,"HASAN DOUKHAN, Abdul Fattah",-0- 
9651,9162.0,aka,"QARAWI, Mohammed Fathi",-0- 
9652,9163.0,aka,"AL-ZBOUN, Anwar Muhammad",-0- 
9653,9164.0,aka,"NAWFAL, Imad Mahmoud",-0- 
9655,9165.0,aka,"MANSOUR, Muna Salem",-0- 
9656,9166.0,aka,"EL ABADSA, Yehia Abdul Aziz",-0- 
9659,32437.0,aka,"HAMMAD, Fathi Ahmad",-0- 
9659,32438.0,aka,"HAMAD, Fathy Ahmed",-0- 
9659,32439.0,aka,"HAMAD, Fathi",-0- 
9661,9167.0,aka,"ABU MUSAMEH, Sayed Salem",-0- 
9662,9168.0,aka,"ABOU RAAS, Merwan Muhammed",-0- 
9663,9169.0,aka,"HALAYQA, Sameera Abed Allah",-0- 
9668,9170.0,aka,"DWAIK, Aziz Salem Mustada",-0- 
9669,9171.0,aka,"SALHAB, Azzam Numan Rahman",-0- 
9669,9172.0,aka,"SALHAB TAMIMI, Azzam No'man Abdel Rahman",-0- 
9670,9173.0,aka,"RAMADAN, Nizar Abd-Al-Aziz",-0- 
9671,9174.0,aka,"RAJOUB, Naif Mahmod",-0- 
9672,9175.0,aka,"AL-QADI, Sameer Saleh",-0- 
9673,9176.0,aka,"ABU JHESHEH, Mohammad Mutlaq",-0- 
9673,9177.0,aka,"ABU JEHEISHA, Mohammed",-0- 
9674,9178.0,aka,"KAFEESHEH, Hatem Rabah",-0- 
9674,9179.0,aka,"QEFEISHA, Hatem",-0- 
9674,9180.0,aka,"ABU ANED, Hadj Hatem",-0- 
9675,9181.0,aka,"ZAAREER, Basim Ahmad",-0- 
9676,9182.0,aka,"AL-TAL, Mohammad Ismail",-0- 
9677,9183.0,aka,"ABU SAIR, Da'oud Kamal Da'oud",-0- 
9678,9184.0,aka,"KHUDAIR, Hamid Sulieman Jabir",-0- 
9679,9185.0,aka,"YASIN, Husni Mohammad Bourini",-0- 
9680,9186.0,aka,"AMLI, Riyad Ali Mustafa",-0- 
9681,9187.0,aka,"AHMAD, Ahmad Ali Ahmad",-0- 
9682,9188.0,aka,"DAR KHALIL, Hasan Youssef Daoud",-0- 
9682,9189.0,aka,"DAR KHALIL, Hassan Yousef Dawoud",-0- 
9683,9190.0,aka,"HAMDAN, Fadel Mohammad Saleh",-0- 
