entity_num,name,type,program,call_sign,vessel_type,tonnage,grt,vessel_flag,vessel_owner,remarks
"HANIYA, Ismail Abdul Salah",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1962; POB Shati.
"ABU TEIR, Mohammed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1951; POB Umm Tuba.
"AL-SHANTI, Jamileh Abdullah",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1955; POB Jabalia Camp.
"NU'MAN ALAEDDIN, Mohammed Jamal",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1959.
"MANSOUR, Yasser Daoud",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1967; POB Nablus, West Bank."
"RABAI, Khalil Musa",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1959.
"AL-QREINAWI, Huda Naim",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1969.
"AL-RAMAHI, Mahmoud Ahmad",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1963.
"ZAHHAR, Mahmoud Khaled",individual,SDGT] [NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1945; POB Gaza Strip; nationality Palestinian; Gender Male; Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'ZAHAR, Mahmoud'; a.k.a. 'AL-ZAHAR, Mahmoud'; Linked To: HAMAS."
"HASAN DUKHAN, Abdul Fattah",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1936.
"DAHBOUR, Ibrahim Mohammed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1968.
"SALEH, Mariam Mahmoud",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1952.
"QAR'AWI, Fathi Mohammed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"DOB 1958; POB Ramin, West Bank."
"ZBOUN, Anwar Mohammed",individual,NS-PLC,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,DOB 1968; POB Ilar.
